"Название журнала","Специализация","Дата включения в реестр"
"Alma mater (Вестник высшей школы)","13.00.00 – педагогические науки;
09.00.00 – философские науки;
22.00.00 – социологические науки.",2015-12-01
"International Journal for Computation Civil and Structural  Engineering (Международный журнал по расчету гражданских и строительных конструкций","01.02.00 – механика;
05.13.00 – информатика, вычислительная техника и управление;
05.23.00 – строительство и архитектура",2015-12-01
"T-Comm – Телекоммуникации и Транспорт","01.01.00 – математика;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и",2015-12-01
"XXI век: итоги прошлого и проблемы настоящего плюс","05.13.00 – информатика, вычислительная техника и управление;
05.18.00 – технология продовольственных продуктов;
05.26.00 – безопасность деятельности человека",2015-12-01
"Автоматизация в промышленности","05.01.00 – инженерная геометрия и компьютерная графика;
05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Автоматизация процессов управления","05.08.00 – кораблестроение;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Автоматизация, телемеханизация и связь в нефтяной промышленности","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Автоматизация. Современные технологии","05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Агрофизика","06.01.00 – агрономия;
03.02.00 – общая биология;
03.01.00 – физико-химическая биология;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Азимут научных исследований: педагогика и психология","19.00.00 – психологические науки;13.00.00 – педагогические науки;22.00.00 – социологические науки.",2015-12-01
"Анализ риска здоровью","14.02.00 – профилактическая медицина;
14.03.00 – медико-биологические науки;
22.00.00 - социологические науки.",2015-12-01
"Аудит и финансовый анализ / Audit and Financical Analisis","08.00.00 – экономические науки;
05.13.00 – информатика, вычислительная техника и управление;
22.00.00 – социологические науки",2015-12-01
"Безопасность информационных технологий","05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Библиосфера","05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация;
07.00.00 – исторические науки и археология;
13.00.00 – педагогические науки.",2015-12-01
"Бизнес-информатика Business Informatics","05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация;
08.00.00 – экономические науки.",2015-12-01
"Вектор науки Тольяттинского государственного университета","05.02.00 – машиностроение и машиноведение;
05.16.00 – металлургия и материаловедение;
05.17.00 – химическая технология;
10.02.00 – языкознание;
22.00.00 – социологические науки.",2015-12-01
"Вестник Астраханского государственного технического университета.
Серия: Управление, вычислительная техника и информатика","05.12.00 – радиотехника и связь;05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник БГТУ им. В.Г. Шухова","08.00.00 – экономические науки;
05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.17.00 – химическая технология;
05.23.00 – строительство и архитектура.",2015-12-01
"Вестник Брянского государственного технического университета","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение;
05.22.00 – транспорт;
08.00.00 – экономические науки",2015-12-01
"Вестник ВГАВТ","05.08.00 – кораблестроение;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
08.00.00 – экономические науки.",2015-12-01
"Вестник Волгоградского государственного университета. Серия 1. Математика. Физика","01.01.00 – математика;
01.02.00 – механика;
01.03.00 – астрономия;
01.04.00 – физика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник волгоградского государственного университета. Серия 7. Философия. Социология и социальные технологии","09.00.00 – философские науки;22.00.00 – социологические науки.",2015-12-01
"Вестник Воронежского государственного университета. Серия: История. Политология. Социология","23.00.00 – политология;
07.00.00 – исторические науки и археология;
22.00.00 – социологические науки.",2015-12-01
"Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии","05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Воронежского государственного университета. Серия: Физика. Математика","01.01.00 – математика;
01.04.00 – физика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Воронежского института МВД России","12.00.00 – юридические науки;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Воронежского института ФСИН России","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
12.00.00 – юридические науки;
13.00.00 – педагогические науки",2015-12-01
"Вестник ВЭГУ","13.00.00 – педагогические науки;
22.00.00 – социологические науки;
12.00.00 – юридические науки.",2015-12-01
"Вестник Государственного университета морского и речного флота имени адмирала С.О. Макарова","05.22.00 – транспорт;
05.08.00 – кораблестроение;
05.09.00 – электротехника;
05.13.00 – информатика, вычислительная техника и управление",2015-12-01
